10
Auckland,100,900
Hamilton,250,800
Tauranga,400,850
Rotorua,350,700
Napier,650,750
NewPlymouth,200,600
Wanganui,300,500
PalmerstonNorth,450,550
Masterton,600,500
Wellington,700,400
15
Auckland,Hamilton,120
Auckland,Tauranga,180
Hamilton,Rotorua,100
Tauranga,Napier,220
Rotorua,Napier,200
Rotorua,Wanganui,250
NewPlymouth,Wanganui,100
Wanganui,PalmerstonNorth,80
PalmerstonNorth,Masterton,130
Masterton,Wellington,90
Hamilton,NewPlymouth,150
Napier,Masterton,140
Tauranga,Rotorua,95
Wanganui,Masterton,160
PalmerstonNorth,Wellington,110
